TxnType,Nonce,Position,GasLimit_UsagebyTxn,GasLimit_UsagebyTxn1,GasLimit_UsagebyTxn2,L1DataFee,L1DataFee1,ExecutionFee,ExecutionFee1,ExecutionFee2,InputData,InputData1,InputData2,InputData3,PrivateNote,PrivateNote1,PrivateNote_URL,TransactionHash,Status,Block,Block_URL,Block1,Timestamp,From,From_URL,Value,Value1,TotalTxFee,TotalTxFee1,GasPrice,GasPrice1,GasPrice2
,,,,,,,,,,,,,,,,,,0xe031a35ea828934426feee51eefcced0461a5f60505f46549b1a8f905e29f51d,Success,2883966,https://scrollscan.com/block/2883966,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:46 PM +UTC),,,,,,,,,
,,,,,,,,,,,,,,,,,,0xea64ee4d5233ccdffd211664485f279a6e86c169baf6fb044f0b0b461b513f6b,Success,2883966,https://scrollscan.com/block/2883966,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:46 PM +UTC),,,,,,,,,
0 (Legacy),57,2,"120,612",|,"59,854 (49.63%)",0.000174253153315968 ETH ($0.40),.,0.00002872992 ETH ($0.07),0.00002872992 ETH,.,"Function: approve(address spender,uint256 value)

MethodID: 0x095ea7b3
[0]:  000000000000000000000000aaaaaaaacb71bf2c8cae522ea5fa455571a74106
[1]:  000000000000000000000000000000000000000000000000000000000474b32a",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x03e324ecc8545eea8cdea1621dbbfe57e1e433ee21efde2f343fc1b7991be987,0x03e324ecc8545eea8cdea1621dbbfe57e1e433ee21efde2f343fc1b7991be987,Success,2883966,https://scrollscan.com/block/2883966,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:46 PM +UTC),,,0 ETH ($0.00),0 ETH,0.000202983073315968 ETH ($0.47),.,0.00000000048 ETH (0.48 Gwei),.,.
,,,,,,,,,,,,,,,,,,0xf2f4d45f8b1cba096be557b4d42ceb6a77fbf050eee5ced68b690273cbb1fbb8,Success,2883966,https://scrollscan.com/block/2883966,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:46 PM +UTC),,,,,,,,,
0 (Legacy),232620,0,"31,500",|,"21,000 (66.67%)",0.000157602934382976 ETH ($0.36),.,0.000012096 ETH ($0.03),0.000012096 ETH,.,0x,,,Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x335bbf8a99364f1fabb0c312439fd6f6838bdcae45431d2b50d570ddb1da7743,0x335bbf8a99364f1fabb0c312439fd6f6838bdcae45431d2b50d570ddb1da7743,Success,2883966,https://scrollscan.com/block/2883966,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:46 PM +UTC),,,"2.377442000000000028 ETH ($5,484.61)",2.377442000000000028 ETH,0.000169698934382976 ETH ($0.39),.,0.000000000576 ETH (0.576 Gwei),.,.
0 (Legacy),149,6,"31,861",|,"26,978 (84.67%)",0.000171238889543616 ETH ($0.40),.,0.00001294944 ETH ($0.03),0.00001294944 ETH,.,"Function: approve(address spender,uint256 amount)

MethodID: 0x095ea7b3
[0]:  00000000000000000000000080e38291e06339d10aab483c65695d004dbd5c69
[1]:  0000000000000000000000000000000000000000000000000000000000000000",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0xa9644ac16cabdce0081f12e4b2f3e26ec51dc51114eeb4c560fa30126405d1f9,0xa9644ac16cabdce0081f12e4b2f3e26ec51dc51114eeb4c560fa30126405d1f9,Success,2883965,https://scrollscan.com/block/2883965,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:43 PM +UTC),,,0 ETH ($0.00),0 ETH,0.000184188329543616 ETH ($0.42),.,0.00000000048 ETH (0.48 Gwei),.,.
,,,,,,,,,,,,,,,,,,0x043af40e90483c412304c0e4f5253ebe5c10758b70043454c573ea533eb2c885,Success,2883965,https://scrollscan.com/block/2883965,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:43 PM +UTC),,,,,,,,,
,,,,,,,,,,,,,,,,,,0x098b62e031cce575f74b7c60834485353be4d4d660eda3f7f2480c99c74ef61f,Success,2883965,https://scrollscan.com/block/2883965,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:43 PM +UTC),0x5107411fefb6ea04551c4446538e5b823ac59b04,https://scrollscan.com/address/0x5107411fefb6ea04551c4446538e5b823ac59b04,,,,,,,
0 (Legacy),35,2,"90,963",|,"40,290 (44.29%)",0.000186310208405376 ETH ($0.43),.,0.0000193392 ETH ($0.04),0.0000193392 ETH,.,"Function: approve(address spender,uint256 value)

MethodID: 0x095ea7b3
[0]:  0000000000000000000000002db0afd0045f3518c77ec6591a542e326befd3d7
[1]:  ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x536cada055dbe3c9fe9434c0dbb3e71847ef8e0c54e6568501a54594db1caa64,0x536cada055dbe3c9fe9434c0dbb3e71847ef8e0c54e6568501a54594db1caa64,Success,2883965,https://scrollscan.com/block/2883965,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:43 PM +UTC),,,0 ETH ($0.00),0 ETH,0.000205649408405376 ETH ($0.47),.,0.00000000048 ETH (0.48 Gwei),.,.
,,,,,,,,,,,,,,,,,,0x9abbbeda9dc09a0d836631ed72f48993b17cdc83fd87cfdefdf7b5ec3ecfe26e,Success,2883965,https://scrollscan.com/block/2883965,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:43 PM +UTC),0x13d7ebbf9de0ecf70530685f751cf285ddc02018,https://scrollscan.com/address/0x13d7ebbf9de0ecf70530685f751cf285ddc02018,,,,,,,
,,,,,,,,,,,,,,,,,,0xcb7ef7543bbceea41657b43ee86f67035b254f6c560b9d55b9b5ff8ec8332f11,Success,2883965,https://scrollscan.com/block/2883965,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:43 PM +UTC),,,,,,,,,
0 (Legacy),34,6,"90,963",|,"60,190 (66.17%)",0.000186310208405376 ETH ($0.43),.,0.0000288912 ETH ($0.07),0.0000288912 ETH,.,"Function: approve(address spender,uint256 value)

MethodID: 0x095ea7b3
[0]:  0000000000000000000000002db0afd0045f3518c77ec6591a542e326befd3d7
[1]:  ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x4b5148adb8ea00ff7e1c22f60f7a36970dfda2730a607f52c1e621e90d85901a,0x4b5148adb8ea00ff7e1c22f60f7a36970dfda2730a607f52c1e621e90d85901a,Success,2883964,https://scrollscan.com/block/2883964,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:40 PM +UTC),,,0 ETH ($0.00),0 ETH,0.000215201408405376 ETH ($0.50),.,0.00000000048 ETH (0.48 Gwei),.,.
0 (Legacy),4,5,"921,459",|,"750,610 (81.46%)",0.00108944104915008 ETH ($2.51),.,0.0003602928 ETH ($0.83),0.0003602928 ETH,.,"Function: swap(tuple execution)

MethodID: 0xe21fd0e9
[0]:  0000000000000000000000000000000000000000000000000000000000000020
[1]:  000000000000000000000000f40442e1cb0bdfb496e8b7405d0c1c48a81bc897
[2]:  0000000000000000000000000000000000000000000000000000000000000000
[3]:  00000000000000000000000000000000000000000000000000000000000000a0
[4]:  00000000000000000000000000000000000000000000000000000000000007e0
[5]:  0000000000000000000000000000000000000000000000000000000000000a20
[6]:  0000000000000000000000000000000000000000000000000000000000000720
[7]:  0000000000000000000000000000000000000000000000000000000000000020
[8]:  00000000000000000000000000000000000000000000000000000000000000c0
[9]:  00000000000000000000000006efdbff2a14a7c8e15944d1f4a48f9f95f663a4
[10]: 000000000000000000000000eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
[11]: 00000000000000000000000079b9178e4925419e9d28be93d6732fcfda637ab2
[12]: 0000000000000000000000000000000000000000000000000000000065b7df4d
[13]: 00000000000000000000000000000000000000000000000000000000000006c0
[14]: 0000000000000000000000000000000000000000000000000000000000000003
[15]: 0000000000000000000000000000000000000000000000000000000000000060
[16]: 00000000000000000000000000000000000000000000000000000000000001c0
[17]: 0000000000000000000000000000000000000000000000000000000000000460
[18]: 0000000000000000000000000000000000000000000000000000000000000001
[19]: 0000000000000000000000000000000000000000000000000000000000000020
[20]: 0000000000000000000000000000000000000000000000000000000000000040
[21]: 1b96cfd400000000000000000000000000000000000000000000000000000002
[22]: 00000000000000000000000000000000000000000000000000000000000000c0
[23]: 00000000000000000000000096cfa2a369ec67a93c324a35e693fbeea11c0594
[24]: 00000000000000000000000006efdbff2a14a7c8e15944d1f4a48f9f95f663a4
[25]: 0000000000000000000000005300000000000000000000000000000000000004
[26]: 000000000000000000000000f40442e1cb0bdfb496e8b7405d0c1c48a81bc897
[27]: 000000000000000000000000000000000000000000000000000000000c5a85f9
[28]: 0000000000000000000000000000000000000000000000000000000000030135
[29]: 0000000000000000000000000000000000000000000000000000000000000002
[30]: 0000000000000000000000000000000000000000000000000000000000000040
[31]: 0000000000000000000000000000000000000000000000000000000000000160
[32]: 0000000000000000000000000000000000000000000000000000000000000040
[33]: 1b96cfd400000000000000000000000000000000000000000000000000000002
[34]: 00000000000000000000000000000000000000000000000000000000000000c0
[35]: 0000000000000000000000003f38197ef860514d8b98e842d01bc8f163dddd96
[36]: 00000000000000000000000006efdbff2a14a7c8e15944d1f4a48f9f95f663a4
[37]: 000000000000000000000000f55bec9cafdbe8730f096aa55dad6d22d44099df
[38]: 000000000000000000000000f40442e1cb0bdfb496e8b7405d0c1c48a81bc897
[39]: 00000000000000000000000000000000000000000000000000000000041e2ca2
[40]: fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff834
[41]: 0000000000000000000000000000000000000000000000000000000000000040
[42]: 1b96cfd400000000000000000000000000000000000000000000000000000002
[43]: 00000000000000000000000000000000000000000000000000000000000000c0
[44]: 0000000000000000000000007acc57850c00381452bfd652a56e6f8bf742d71e
[45]: 000000000000000000000000f55bec9cafdbe8730f096aa55dad6d22d44099df
[46]: 0000000000000000000000005300000000000000000000000000000000000004
[47]: 000000000000000000000000f40442e1cb0bdfb496e8b7405d0c1c48a81bc897
[48]: 00000000000000000000000000000000000000000000000000000000041e119a
[49]: fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffcfeb4
[50]: 0000000000000000000000000000000000000000000000000000000000000001
[51]: 0000000000000000000000000000000000000000000000000000000000000020
[52]: 0000000000000000000000000000000000000000000000000000000000000040
[53]: 63407a4900000000000000000000000000000000000000000000000000000002
[54]: 00000000000000000000000000000000000000000000000000000000000000e0
[55]: 000000000000000000000000f40442e1cb0bdfb496e8b7405d0c1c48a81bc897
[56]: 000000000000000000000000e64ae4128e725868e8fe52e771e3d272e787b041
[57]: 00000000000000000000000006efdbff2a14a7c8e15944d1f4a48f9f95f663a4
[58]: 0000000000000000000000005300000000000000000000000000000000000004
[59]: 0000000000000000000000000000000000000000000000000000000041e2ca20
[60]: 0000000000000000000000000000000000000000000000000000000000000000
[61]: 0000000000000000000000000000000000000000000000000000000000000001
[62]: 0000000000000000000000000000000000000000000000000000000000000020
[63]: 00000000000000000000008bfe4fea7900000000000000000858213eeb8a12a1
[64]: 00000000000000000000000006efdbff2a14a7c8e15944d1f4a48f9f95f663a4
[65]: 000000000000000000000000eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
[66]: 0000000000000000000000000000000000000000000000000000000000000160
[67]: 00000000000000000000000000000000000000000000000000000000000001a0
[68]: 00000000000000000000000000000000000000000000000000000000000001e0
[69]: 0000000000000000000000000000000000000000000000000000000000000200
[70]: 00000000000000000000000079b9178e4925419e9d28be93d6732fcfda637ab2
[71]: 00000000000000000000000000000000000000000000000000000000525b7cbb
[72]: 000000000000000000000000000000000000000000000000084d72ffe2ae809d
[73]: 0000000000000000000000000000000000000000000000000000000000000000
[74]: 0000000000000000000000000000000000000000000000000000000000000220
[75]: 0000000000000000000000000000000000000000000000000000000000000001
[76]: 000000000000000000000000f40442e1cb0bdfb496e8b7405d0c1c48a81bc897
[77]: 0000000000000000000000000000000000000000000000000000000000000001
[78]: 00000000000000000000000000000000000000000000000000000000525b7cbb
[79]: 0000000000000000000000000000000000000000000000000000000000000000
[80]: 0000000000000000000000000000000000000000000000000000000000000000
[81]: 0000000000000000000000000000000000000000000000000000000000000000
[82]: 00000000000000000000000000000000000000000000000000000000000001f6
[83]: 7b22536f75726365223a226b7962657273776170222c22416d6f756e74496e55
[84]: 5344223a22313338342e343930383733383338222c22416d6f756e744f757455
[85]: 5344223a22313338342e33323431303639313631313536222c22526566657272
[86]: 616c223a22222c22466c616773223a312c22496e74656772697479496e666f22
[87]: 3a7b224b65794944223a2231222c225369676e6174757265223a224849745674
[88]: 6c506a61652b6b517256574e3664484d30584a31756a737235474f5937636a62
[89]: 31685957525759643573747977566846366c396f6a4b51493265754373575773
[90]: 7258576e6f463653646172494c58566f4250376851506e384831556748484765
[91]: 4272414c766d6356305752752b6a49432f613542623444547a673057724b6f44
[92]: 6337514b4d7345682f57566b7756306b47787772386b34712b4d744275554638
[93]: 495347597375306475516a6e4e32303761484657586d43505046774d4c36682b
[94]: 412f58534f7254393271492b78434e6c3762624a4c594a55557970384e2b4d74
[95]: 782f576e374d364c4c68666368314153704d62415831532f32306d7063644c56
[96]: 48665a42475536796338595a4a54522f4b2b4b2f39436c54525733626e4f5432
[97]: 77504c44642f794a5a336a45786a706361652f4f45487078705941584b796165
[98]: 6648677a516c73566a56345552556975413d3d227d7d00000000000000000000",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0xec5f393a58cc36770e45112073e73597fc20c7c6b264b22465f9f3dfbc93b558,0xec5f393a58cc36770e45112073e73597fc20c7c6b264b22465f9f3dfbc93b558,Success,2883964,https://scrollscan.com/block/2883964,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:40 PM +UTC),0x79b9178e4925419e9d28be93d6732fcfda637ab2,https://scrollscan.com/address/0x79b9178e4925419e9d28be93d6732fcfda637ab2,0 ETH ($0.00),0 ETH,0.00144973384915008 ETH ($3.34),.,0.00000000048 ETH (0.48 Gwei),.,.
0 (Legacy),148,4,"42,874",|,"37,894 (88.38%)",0.000172100107764288 ETH ($0.40),.,0.00001818912 ETH ($0.04),0.00001818912 ETH,.,"Function: approve(address spender,uint256 value)

MethodID: 0x095ea7b3
[0]:  00000000000000000000000080e38291e06339d10aab483c65695d004dbd5c69
[1]:  0000000000000000000000000000000000000000000000000000000000000000",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x87a6d58e1c8e21aed7b21d4c70ef91616769e1b044f951581e9f5659349427e7,0x87a6d58e1c8e21aed7b21d4c70ef91616769e1b044f951581e9f5659349427e7,Success,2883964,https://scrollscan.com/block/2883964,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:40 PM +UTC),,,0 ETH ($0.00),0 ETH,0.000190289227764288 ETH ($0.44),.,0.00000000048 ETH (0.48 Gwei),.,.
,,,,,,,,,,,,,,,,,,0x3258baea30cb65e1e2a696159d53ff24b17fe9daa7166e72513c60d1668ca825,Success,2883964,https://scrollscan.com/block/2883964,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:40 PM +UTC),0x2444baadaabb4d642397948f9d1c17d93b2f89d5,https://scrollscan.com/address/0x2444baadaabb4d642397948f9d1c17d93b2f89d5,,,,,,,
0 (Legacy),18,2,"49,629",|,"49,274 (99.28%)",0.000185305453814592 ETH ($0.43),.,0.000024834096 ETH ($0.06),0.000024834096 ETH,.,"Function: approve(address spender,uint256 amount)

MethodID: 0x095ea7b3
[0]:  000000000000000000000000aaaaaaaacb71bf2c8cae522ea5fa455571a74106
[1]:  ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0xa8de4f46123f0842a764c8ce37e128d12cbe463933a649b8bc853619ff380192,0xa8de4f46123f0842a764c8ce37e128d12cbe463933a649b8bc853619ff380192,Success,2883964,https://scrollscan.com/block/2883964,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:40 PM +UTC),,,0 ETH ($0.00),0 ETH,0.000210139549814592 ETH ($0.48),.,0.000000000504 ETH (0.504 Gwei),.,.
0 (Legacy),47571,1,"21,000",|,"21,000 (100%)",0.00015645464342208 ETH ($0.36),.,0.000011592 ETH ($0.03),0.000011592 ETH,.,0x,,,Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0xf0819ef07251f97fe864417516225a2f36dc78d470aefefe82c0425e47c29731,0xf0819ef07251f97fe864417516225a2f36dc78d470aefefe82c0425e47c29731,Success,2883964,https://scrollscan.com/block/2883964,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:40 PM +UTC),,,0.008639000000000006 ETH ($19.93),0.008639000000000006 ETH,0.00016804664342208 ETH ($0.39),.,0.000000000552 ETH (0.552 Gwei),.,.
0 (Legacy),193311,0,"31,500",|,"21,000 (66.67%)",0.000157028788902528 ETH ($0.36),.,0.000012096 ETH ($0.03),0.000012096 ETH,.,0x,,,Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0xaab9b7ccf3fbb83b72255050099abeebd667fdc0df2372c806e2bc4c6cc94bcc,0xaab9b7ccf3fbb83b72255050099abeebd667fdc0df2372c806e2bc4c6cc94bcc,Success,2883964,https://scrollscan.com/block/2883964,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:40 PM +UTC),,,0.01298000000000006 ETH ($29.94),0.01298000000000006 ETH,0.000169124788902528 ETH ($0.39),.,0.000000000576 ETH (0.576 Gwei),.,.
0 (Legacy),94,5,"237,299",|,"207,574 (87.47%)",0.000231667701360768 ETH ($0.53),.,0.00009963552 ETH ($0.23),0.00009963552 ETH,.,"Function: swapExactTokensForTokens(uint256 amountIn,uint256 amountOutMin,address[] path,address to,uint256 deadline) ***

MethodID: 0x38ed1739
[0]:  000000000000000000000000000000000000000000000000000000000001b198
[1]:  00000000000000000000000000000000000000000047ea8fdaf7facf845dd5c7
[2]:  00000000000000000000000000000000000000000000000000000000000000a0
[3]:  000000000000000000000000507097f66a9c9b93408f732c632662fbe3086d98
[4]:  0000000000000000000000000000000000000000000000000000000065b7df4c
[5]:  0000000000000000000000000000000000000000000000000000000000000003
[6]:  00000000000000000000000006efdbff2a14a7c8e15944d1f4a48f9f95f663a4
[7]:  0000000000000000000000005300000000000000000000000000000000000004
[8]:  000000000000000000000000ce3cfe8781e6dd5ee185d63100236743469acfa1",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0xe737f941121c3507c924e31aca57bf9416015a989c3e53f7f662275eb9c66251,0xe737f941121c3507c924e31aca57bf9416015a989c3e53f7f662275eb9c66251,Success,2883963,https://scrollscan.com/block/2883963,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:37 PM +UTC),0x507097f66a9c9b93408f732c632662fbe3086d98,https://scrollscan.com/address/0x507097f66a9c9b93408f732c632662fbe3086d98,0 ETH ($0.00),0 ETH,0.000331303221360768 ETH ($0.76),.,0.00000000048 ETH (0.48 Gwei),.,.
,,,,,,,,,,,,,,,,,,0x789515706808d43dfcc5d8dd168f746b8c57d8b98f319eaa9ca5a64fd28245c7,Success,2883963,https://scrollscan.com/block/2883963,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:37 PM +UTC),0x035ceb21c467f15e62e95b6e4ee7e0e6d6ce9b7a,https://scrollscan.com/address/0x035ceb21c467f15e62e95b6e4ee7e0e6d6ce9b7a,,,,,,,
,,,,,,,,,,,,,,,,,,0x4a93ee337322cee1748c2403b13425db29b4d1811e935bc0c61a4d536256f5a5,Success,2883963,https://scrollscan.com/block/2883963,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:37 PM +UTC),,,,,,,,,
,,,,,,,,,,,,,,,,,,0xf689d08849e4a16c8032ec647e23dfd0f68fe396742442172b47245241854cc3,Success,2883963,https://scrollscan.com/block/2883963,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:37 PM +UTC),,,,,,,,,
0 (Legacy),46,1,"90,963",|,"59,842 (65.79%)",0.000173822544205632 ETH ($0.40),.,0.00002872416 ETH ($0.07),0.00002872416 ETH,.,"Function: approve(address spender,uint256 value)

MethodID: 0x095ea7b3
[0]:  00000000000000000000000025ab3efd52e6470681ce037cd546dc60726948d3
[1]:  0000000000000000000000000000000000000000000000000000000001312d00",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x2c760bb69533a779323ed995a3c60c08fa1bde3a858a40ef3841e4c3b0d8796d,0x2c760bb69533a779323ed995a3c60c08fa1bde3a858a40ef3841e4c3b0d8796d,Success,2883963,https://scrollscan.com/block/2883963,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:37 PM +UTC),,,0 ETH ($0.00),0 ETH,0.000202546704205632 ETH ($0.47),.,0.00000000048 ETH (0.48 Gwei),.,.
,,,,,,,,,,,,,,,,,,0x4ac8ba7e741ba7c4ab4fbbd0ce4be1e1a7abc71bcc203025833a0cd0787e3238,Success,2883963,https://scrollscan.com/block/2883963,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:04:37 PM +UTC),0xfaf9305c5996d097eaa136375a02972d3dd3cfd3,https://scrollscan.com/address/0xfaf9305c5996d097eaa136375a02972d3dd3cfd3,,,,,,,
0 (Legacy),252,2,"204,794",|,"159,318 (77.79%)",0.000230088801289536 ETH ($0.53),.,0.00007647264 ETH ($0.18),0.00007647264 ETH,.,"Function: swapAmount(tuple params)

MethodID: 0x75ceafe6
[0]:  0000000000000000000000000000000000000000000000000000000000000020
[1]:  00000000000000000000000000000000000000000000000000000000000000a0
[2]:  000000000000000000000000aaadec473cadf58d9c338c7b3c0f029e7b1409a8
[3]:  000000000000000000000000000000000000000000000000000000000064b540
[4]:  0000000000000000000000000000000000000000000000000000000000633288
[5]:  0000000000000000000000000000000000000000000000000000000065b7dcc2
[6]:  000000000000000000000000000000000000000000000000000000000000002b
[7]:  06efdbff2a14a7c8e15944d1f4a48f9f95f663a40001f4f55bec9cafdbe8730f
[8]:  096aa55dad6d22d44099df000000000000000000000000000000000000000000",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x8f69b16a0c9267f8823b5cb31981ed655f19ee93886f9a8d5ab98c625d6053b3,0x8f69b16a0c9267f8823b5cb31981ed655f19ee93886f9a8d5ab98c625d6053b3,Success,2883962,https://scrollscan.com/block/2883962,Confirmed by Sequencer,37 mins ago (Jan-29-2024 05:04:34 PM +UTC),0xaaadec473cadf58d9c338c7b3c0f029e7b1409a8,https://scrollscan.com/address/0xaaadec473cadf58d9c338c7b3c0f029e7b1409a8,0 ETH ($0.00),0 ETH,0.000306561441289536 ETH ($0.71),.,0.00000000048 ETH (0.48 Gwei),.,.
0 (Legacy),32424,1,"27,300",|,"21,000 (76.92%)",0.000156024034311744 ETH ($0.36),.,0.00001008 ETH ($0.02),0.00001008 ETH,.,0x,,,Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x1937ccc61ce31596696a45a609cb340d7c1b628fb473015810e0e66e88b81003,0x1937ccc61ce31596696a45a609cb340d7c1b628fb473015810e0e66e88b81003,Success,2883962,https://scrollscan.com/block/2883962,Confirmed by Sequencer,37 mins ago (Jan-29-2024 05:04:34 PM +UTC),,,0.001454 ETH ($3.35),0.001454 ETH,0.000166104034311744 ETH ($0.38),.,0.00000000048 ETH (0.48 Gwei),.,.
0 (Legacy),8,0,"516,016",|,"231,194 (44.8%)",0.000219467109901248 ETH ($0.51),.,0.000122070432 ETH ($0.28),0.000122070432 ETH,.,"Function: swapExactETHForTokens(uint256 amountOutMin,tuple[] routes,address to,uint256 deadline)

MethodID: 0x67ffb66a
[0]:  00000000000000000000000000000000000000000000000000000000000c35c0
[1]:  0000000000000000000000000000000000000000000000000000000000000080
[2]:  000000000000000000000000d8491101f795f1483d9ff2638269b34d67544bc6
[3]:  0000000000000000000000000000000000000000000000000000018d56406602
[4]:  0000000000000000000000000000000000000000000000000000000000000001
[5]:  0000000000000000000000005300000000000000000000000000000000000004
[6]:  00000000000000000000000006efdbff2a14a7c8e15944d1f4a48f9f95f663a4
[7]:  0000000000000000000000000000000000000000000000000000000000000000",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x20ed1bb0c56438bcbb9ed2809b1141cd61d83732b1251fd25f7b099ee8cb1de8,0x20ed1bb0c56438bcbb9ed2809b1141cd61d83732b1251fd25f7b099ee8cb1de8,Success,2883962,https://scrollscan.com/block/2883962,Confirmed by Sequencer,37 mins ago (Jan-29-2024 05:04:34 PM +UTC),0xd8491101f795f1483d9ff2638269b34d67544bc6,https://scrollscan.com/address/0xd8491101f795f1483d9ff2638269b34d67544bc6,0.000354324134596247 ETH ($0.82),0.000354324134596247 ETH,0.000341537541901248 ETH ($0.79),.,0.000000000528 ETH (0.528 Gwei),.,.
,,,,,,,,,,,,,,,,,,0x54373cac6031077a4b66751b85a2c33d61f3ff0cce67cfffb3bd02f2fd8ee27e,Success,2883981,https://scrollscan.com/block/2883981,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:05:34 PM +UTC),,,,,,,,,
,,,,,,,,,,,,,,,,,,0xda0f4abc371f751bc30414cf612d892aba9dbeb34f5b37e455ffc59b0be0ea39,Success,2883981,https://scrollscan.com/block/2883981,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:05:34 PM +UTC),,,,,,,,,
,,,,,,,,,,,,,,,,,,0xd3c50cd886878ae39e811e974354fa65b81f75d0c3e1180475b80839bb21ea34,Success,2883981,https://scrollscan.com/block/2883981,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:05:34 PM +UTC),0xe93685f3bba03016f02bd1828badd6195988d950,https://scrollscan.com/address/0xe93685f3bba03016f02bd1828badd6195988d950,,,,,,,
0 (Legacy),28,1,"49,629",|,"49,274 (99.28%)",0.000185736062924928 ETH ($0.43),.,0.00002365152 ETH ($0.05),0.00002365152 ETH,.,"Function: approve(address spender,uint256 amount)

MethodID: 0x095ea7b3
[0]:  0000000000000000000000002db0afd0045f3518c77ec6591a542e326befd3d7
[1]:  ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff",View Input As,"Default View
                                                        UTF-8
                                                        Original",Switch Back,"To access the Private Note feature, you must be Logged In",Logged In,https://scrollscan.com/login?returntx=0x215d07afb5232453fb046ff01eedb2c307c6238abfc97e02cb94c1af51496ff6,0x215d07afb5232453fb046ff01eedb2c307c6238abfc97e02cb94c1af51496ff6,Success,2883980,https://scrollscan.com/block/2883980,Confirmed by Sequencer,36 mins ago (Jan-29-2024 05:05:31 PM +UTC),,,0 ETH ($0.00),0 ETH,0.000209387582924928 ETH ($0.48),.,0.00000000048 ETH (0.48 Gwei),.,.
